,000270.KS,000660.KS,005380.KS,005930.KS,006400.KS,009540.KS,012450.KS,028260.KS,034020.KS,035420.KS,042660.KS,051910.KS,055550.KS,068270.KS,069500.KS,105560.KS,133690.KS,148070.KS,153130.KS,207940.KS,229200.KS,261240.KS,360750.KS,411060.KS,458730.KS,AAPL,AMD,AMZN,AVGO,COST,GOOGL,JPM,LLY,META,MSFT,NVDA,TLT,TSLA,V,XOM
2021-12-31,0.0019105070294927289,,,,0.0,,1.1571264152881794e-18,,,0.07566653594995033,,,,,0.04871138428879497,0.089906202086835,1.703868183290701e-16,0.0,0.22451720833421918,,8.507680978538958e-17,0.0,1.809767948125578e-16,0.057583813882065855,0.0,,0.004944293174295423,,,0.14999999999999988,0.019912031211605574,,,,0.128623617743951,0.07274161463300893,0.12548279166578077,,,
2022-01-31,,0.06108903730519861,,,,,,,0.0,,,,0.019085553056414357,,1.9173434112131728e-16,0.10858152231752895,2.887413963928861e-16,5.097914664938746e-17,0.024688121464019674,0.033148354005014646,0.0,0.1999999999999994,0.0,0.1396988251822995,0.0,,,,0.0,0.10747375507281683,0.07390279623651996,,,,,0.0969322360471165,0.12531187853598005,,,0.010087920777090933
2022-02-28,,,,0.08012533351238375,,,0.002747947765746166,,1.4770249206023125e-16,,,,0.01432203338475579,,0.0,0.11228545348168106,1.1679641492295852e-17,0.0,0.0822138834936593,,0.0,0.17257781174247858,0.0,0.13699483389562464,2.0057637446187457e-16,0.02769496672795948,,,,0.09253727770361543,,,,,0.10271778602767266,0.08057436750056084,0.09520830476386187,,,3.958303746161873e-17
2022-03-31,,0.04145327061524342,,,,,0.0,,0.0,,,,0.02450791536633659,,1.0695596639054259e-16,0.13284956084643135,1.5401189405189272e-16,1.7485979862128806e-16,0.12552070650641803,,1.2518000506333424e-15,0.1305363282379742,0.0,0.150000000000001,2.738229729154888e-16,0.055464392013006465,,,,0.09129114586811085,,,0.07009156435670079,,,0.08434215093417051,0.09394296525560489,,,0.0
2022-04-30,,,,,,,0.0,,0.0035115356681521344,,,,0.0,,0.0,0.1122098582757867,4.517774613151614e-17,0.0,0.11711039865275687,0.04938394773279743,1.3391057071939562e-16,0.19999999999999993,0.0,0.14999999999999833,5.83277324691368e-17,0.07480556938511726,,,0.0,0.14993693124187593,,,0.09331935517291347,,,,0.03288960134724522,,,0.016832802523356293
2022-05-31,0.0044073395300308245,,,,,,3.034525238716045e-16,,0.008106752501417762,,,,5.578019862593055e-17,,6.956534317917808e-17,0.1150284646661466,1.902492213816395e-16,1.8688259610271128e-16,0.2499999999999836,,0.0,0.10000000000000941,3.8130134987768426e-16,0.14236233146081173,1.0282752745749878e-16,0.11391042933108553,,,0.043319869047617685,0.07462666278316356,,,0.1285156157104353,,,,4.69493056488699e-18,,,0.019722534969296844
2022-06-30,0.00788511719495056,,,,,,5.831728674005465e-16,0.01803579099963035,,,,,0.0,,2.265083238024977e-16,0.0958662084541474,0.0,1.239018794505552e-16,0.15000000000000033,,0.0,0.1999999999999995,0.0,0.1256255091572176,1.7737466760431999e-16,0.11350762747335401,,,0.0,0.11514085715124206,,,0.14999999999999977,,,,1.5043527704539164e-16,,,0.02393888956945722
2022-07-31,0.029076755216489978,,,,,,,0.0,,,,,4.859764508156589e-17,,2.228219863524968e-16,0.08616304651301203,1.826034651039501e-16,9.678319239770658e-17,0.14999999999999813,0.10195882107938029,0.0,0.1999999999999998,3.095464102503753e-17,0.10719286174331798,0.0,,,,5.903838056474335e-17,0.13254322814248023,,,0.11738312447223245,,0.03954634941372896,,1.8011955621166662e-16,,,0.03613581341935933
2022-08-31,0.038010549109391376,,1.5936170334181702e-16,,,,9.641203793693631e-18,4.0676525507550536e-17,,,,,,,3.4853626443221546e-17,,0.0,0.0,0.1500000000000012,0.10600483716088045,0.0,0.19999999999999987,9.813237304813034e-17,0.06359202583611441,0.0,0.04454426574661927,,,,0.14356430613037915,,,0.12760853030051028,,,,0.0,0.04628275079937245,,0.08039273491673116
2022-09-30,0.0020951454311617787,,0.0,,,,2.031500856736168e-16,0.0065793734861735184,,,,0.045668629077629495,,,7.946209929246093e-17,,6.895954784420597e-17,9.345261814757033e-17,0.1500000000000006,,0.0,0.19999999999999996,1.3927283460477213e-16,0.1425385366240602,0.02273004265453501,0.073277309808146,,,,0.14999999999999936,,,0.14999999999999977,,,,2.6507429932262087e-16,,2.178359701178035e-16,0.05711096291829337
